,Company,Industry,Cluster Total Emissions Based on 2016-2020 LOG(AVG),2016-2020 AVG CO2 Emissions Intensity (emissions) / ($B operating costs),LOG(2016-2020 AVG CO2 Emissions Intensity (emissions) / ($B operating costs)),Cluster Emissions Intensity Based on 2016-2020 LOG(AVG),Emissions,Financials,Unnamed: 10
51,general electric,Industrials,4 ~2132511 tons,30552.411657329438,4.48504549700516,3 ~21168 tons per dollar,Y,Y,
52,general motors,Consumer Discretionary,5 ~10089589 tons,49296.84113449169,4.692819091248583,4 ~54241 tons per dollar,Y,Y,
53,GlaxoSmithKline,Health Care,4 ~2132511 tons,45840.57963089716,4.661250100427673,4 ~54241 tons per dollar,Y,Y,
54,"Global Foundries (2016-2019), missing financials)",Information technology,3 ~520047 tons,,,#NUM!,Y,N,
55,Google (ALPHABET),Communication Services,4 ~2132511 tons,36087.9885233584,4.557362675976073,4 ~54241 tons per dollar,Y,Y,
56,Harvard,Social Sector,2 ~145504 tons,41879.031869488135,4.621996633403201,4 ~54241 tons per dollar,Y,Y,
57,Hochtief,,4 ~2132511 tons,125880.35282421492,5.099957951506791,5 ~218440 tons per dollar,Y,Y,
58,home depot,Consumer Discretionary,4 ~2132511 tons,24142.88845884619,4.382789227927623,3 ~21168 tons per dollar,Y,Y,
59,ibm,Information technology,4 ~2132511 tons,21761.60073922165,4.33769083802255,3 ~21168 tons per dollar,Y,Y,
60,Illumina (2017-2020 emissions) (2019-2020 financials),Health Care,1 ~34056 tons,23943.614390612514,4.379189709621574,3 ~21168 tons per dollar,Y,Y,
61,Inditex,Consumer Discretionary,3 ~520047 tons,26739.250648345933,4.427149232251005,3 ~21168 tons per dollar,Y,Y,
62,infosys limited,Information technology,2 ~145504 tons,2941.5935642441755,3.4685826666920887,1 ~1924 tons per dollar,Y,Y,
63,Intel Corporation,Information technology,4 ~2132511 tons,118418.91651422335,5.073421083143155,5 ~218440 tons per dollar,Y,Y,
64,Johns Hopkins University (2019-2020),Education,3 ~520047 tons,41633.62242995502,4.6194441993301725,4 ~54241 tons per dollar,Y,N,
65,Johnson & Johnson Family of Companies,Consumer Discretionary,4 ~2132511 tons,19276.408414862344,4.285026119249944,3 ~21168 tons per dollar,Y,Y,
66,Kensho Technologies (S&P Global),Information technology,1 ~34056 tons,11372.274805818626,4.055847345672698,2 ~9318 tons per dollar,Y,Y,
67,L'Oreal,Consumer Discretionary,2 ~145504 tons,8651.130179121186,3.937072847175054,2 ~9318 tons per dollar,Y,Y,
68,L3Harris (2018-2020),Information technology,2 ~145504 tons,25435.00313571081,4.405431795508628,3 ~21168 tons per dollar,Y,Y,
69,LafareHolcim,,6 ~84178136 tons,6255301.44484861,6.796248243314788,6 ~1942501 tons per dollar,Y,Y,
70,leidos,Information technology,2 ~145504 tons,7983.987277939738,3.902219836254644,2 ~9318 tons per dollar,Y,Y,
71,lenovo,Information technology,2 ~145504 tons,4486.816327214173,3.65193829157229,2 ~9318 tons per dollar,Y,Y,
72,lockheed martin,Industrials,3 ~520047 tons,12677.637514923146,4.103038330057883,2 ~9318 tons per dollar,Y,Y,
73,Lyft (2018 and 2020),Consumer Discretionary,1 ~34056 tons,2855.0789766586986,3.455618126120459,1 ~1924 tons per dollar,Y,Y,
74,magna international,Industrials,4 ~2132511 tons,59161.34722747506,4.772038055230135,4 ~54241 tons per dollar,Y,Y,
75,Mastercard,Financials,2 ~145504 tons,11103.600686827054,4.045463835078915,2 ~9318 tons per dollar,Y,Y,
76,Mathworks (no data),,#NUM!,,,#NUM!,N,N,
77,Maxim Integrated,Information technology,2 ~145504 tons,66403.44546691139,4.822190614133772,4 ~54241 tons per dollar,Y,Y,
78,mckinsey & company (2017-2020) (missing financials),Financials,1 ~34056 tons,,,#NUM!,Y,N,
79,Medidata Solutions,,#NUM!,,,#NUM!,N,N,
80,merck,Health Care,4 ~2132511 tons,52010.943489037694,4.716094732036057,4 ~54241 tons per dollar,Y,Y,
81,microsoft,Information technology,4 ~2132511 tons,66710.6509580958,4.8241951784899335,4 ~54241 tons per dollar,Y,Y,
82,milwaukee tool,Industrials,1 ~34056 tons,8979.009654541263,3.9532284385285297,2 ~9318 tons per dollar,Y,Y,
83,MIT,Social Sector,2 ~145504 tons,53538.93031149722,4.728669689890605,4 ~54241 tons per dollar,Y,Y,
84,NASA (2016-2020),Government Departments,3 ~520047 tons,38863.55900614687,4.589542569448406,4 ~54241 tons per dollar,Y,Y,
85,nasdaq (2019-2020),Financials,1 ~34056 tons,27199.537750385207,4.434561523366448,3 ~21168 tons per dollar,Y,Y,
